date,name,close,per,pbr,dividendYield
2016-06-23,코스피,1986.71,13.94,1.05,1.68
2016-06-24,코스피,1925.24,13.51,1.02,1.73
2016-06-27,코스피,1926.85,13.52,1.02,1.73
2016-06-28,코스피,1936.22,13.59,1.02,1.72
2016-06-29,코스피,1956.36,13.73,1.03,1.7
2016-06-30,코스피,1970.35,13.83,1.04,1.69
2016-07-01,코스피,1987.32,13.95,1.05,1.68
2016-07-04,코스피,1995.3,14.01,1.05,1.67
2016-07-05,코스피,1989.85,13.97,1.05,1.67
2016-07-06,코스피,1953.12,13.71,1.03,1.71
2016-07-07,코스피,1974.08,13.86,1.04,1.69
2016-07-08,코스피,1963.1,13.78,1.04,1.7
2016-07-11,코스피,1988.54,13.96,1.05,1.68
2016-07-12,코스피,1991.23,13.98,1.05,1.67
2016-07-13,코스피,2005.55,14.08,1.06,1.66
2016-07-14,코스피,2008.77,14.1,1.06,1.66
2016-07-15,코스피,2017.26,14.18,1.07,1.65
2016-07-18,코스피,2021.11,14.21,1.07,1.65
2016-07-19,코스피,2016.89,14.18,1.07,1.65
2016-07-20,코스피,2015.46,14.17,1.07,1.65
2016-07-21,코스피,2012.22,14.15,1.06,1.66
2016-07-22,코스피,2010.34,14.13,1.06,1.66
2016-07-25,코스피,2012.32,14.15,1.06,1.66
2016-07-26,코스피,2027.34,14.25,1.07,1.64
2016-07-27,코스피,2025.05,14.24,1.07,1.65
2016-07-28,코스피,2021.1,14.21,1.07,1.65
2016-07-29,코스피,2016.19,14.19,1.07,1.65
2016-08-01,코스피,2029.61,14.28,1.07,1.64
2016-08-02,코스피,2019.03,14.2,1.07,1.65
2016-08-03,코스피,1994.79,14.03,1.06,1.67
2016-08-04,코스피,2000.03,14.07,1.06,1.67
2016-08-05,코스피,2017.94,14.2,1.07,1.65
2016-08-08,코스피,2031.12,14.29,1.07,1.64
2016-08-09,코스피,2043.78,14.38,1.08,1.63
2016-08-10,코스피,2044.64,14.39,1.08,1.63
2016-08-11,코스피,2048.8,14.42,1.08,1.63
2016-08-12,코스피,2050.47,14.43,1.09,1.62
2016-08-16,코스피,2047.76,14.41,1.08,1.63
2016-08-17,코스피,2043.75,14.38,1.08,1.63
2016-08-18,코스피,2055.47,14.47,1.09,1.62
2016-08-19,코스피,2056.24,14.47,1.09,1.62
2016-08-22,코스피,2042.16,14.37,1.08,1.63
2016-08-23,코스피,2049.93,14.43,1.08,1.62
2016-08-24,코스피,2043.76,14.38,1.08,1.63
2016-08-25,코스피,2042.92,14.38,1.08,1.63
2016-08-26,코스피,2037.5,14.34,1.08,1.63
2016-08-29,코스피,2032.35,14.3,1.08,1.64
2016-08-30,코스피,2039.74,14.36,1.08,1.63
2016-08-31,코스피,2034.65,14.32,1.08,1.64
2016-09-01,코스피,2032.72,14.29,1.08,1.64
2016-09-02,코스피,2038.31,14.33,1.08,1.63
2016-09-05,코스피,2060.08,14.49,1.09,1.62
2016-09-06,코스피,2066.53,14.53,1.09,1.61
2016-09-07,코스피,2061.88,14.5,1.09,1.62
2016-09-08,코스피,2063.73,14.51,1.09,1.61
2016-09-09,코스피,2037.87,14.33,1.08,1.63
2016-09-12,코스피,1991.48,14.01,1.05,1.67
2016-09-13,코스피,1999.36,14.06,1.06,1.67
2016-09-19,코스피,2015.78,14.18,1.07,1.65
2016-09-20,코스피,2025.71,14.25,1.07,1.64
2016-09-21,코스피,2035.99,14.32,1.08,1.64
2016-09-22,코스피,2049.7,14.42,1.09,1.62
2016-09-23,코스피,2054.07,14.46,1.09,1.62
2016-09-26,코스피,2047.11,14.41,1.08,1.63
